gene,n_both,n_inv,rate,enrichment
CHD4,192,2,0.010416666666666666,0.19992197609804369
TUFM,12,2,0.16666666666666666,3.198751617568699
E2F1,47,2,0.0425531914893617,0.8167025406558381
EID2,15,2,0.13333333333333333,2.5590012940549594
PTPN1,6,2,0.3333333333333333,6.397503235137398
EIF4A1,29,2,0.06896551724137931,1.3236213589939445
TRAF3,295,2,0.006779661016949152,0.1301187098672013
CLCC1,79,2,0.02531645569620253,0.4858863216560049
SLC25A51,4,2,0.5,9.596254852706098
TWNK,66,2,0.030303030303030304,0.581591203194309
FBXL15,41,2,0.04878048780487805,0.9362199856298632
PGS1,26,2,0.07692307692307693,1.4763469004163228
TIPRL,72,2,0.027777777777777776,0.5331252695947832
GGA3,55,2,0.03636363636363636,0.6979094438331707
COQ3,72,2,0.027777777777777776,0.5331252695947832
PGK1,26,2,0.07692307692307693,1.4763469004163228
ELP3,34,2,0.058823529411764705,1.1289711591418938
TNRC6A,25,1,0.04,0.7677003882164879
RHOF,42,1,0.023809523809523808,0.45696451679552846
MMAB,185,1,0.005405405405405406,0.1037432957049308
RICTOR,30,1,0.03333333333333333,0.6397503235137398
ZNF644,53,1,0.018867924528301886,0.3621228246304188
SFXN1,9,1,0.1111111111111111,2.132501078379133
ZNF71,5,1,0.2,3.8385019410824395
SNUPN,12,1,0.08333333333333333,1.5993758087843495
SRR,50,1,0.02,0.38385019410824395
TMED2,23,1,0.043478260869565216,0.8344569437135737
RASA2,78,1,0.01282051282051282,0.24605781673605379
ZC3HC1,4,1,0.25,4.798127426353049
ZNF613,170,1,0.0058823529411764705,0.11289711591418938
PDPK1,25,1,0.04,0.7677003882164879
TBL1XR1,33,1,0.030303030303030304,0.581591203194309
PTPRC,38,1,0.02631578947368421,0.5050660448792683
NFKB2,188,1,0.005319148936170213,0.10208781758197977
UQCRB,65,1,0.015384615384615385,0.2952693800832646
SH3GL1,29,1,0.034482758620689655,0.6618106794969723
PKNOX1,69,1,0.014492753623188406,0.2781523145711912
PPM1D,28,1,0.03571428571428571,0.6854467751932927
OTUB1,20,1,0.05,0.9596254852706099
NIPBL,53,1,0.018867924528301886,0.3621228246304188
VARS2,13,1,0.07692307692307693,1.4763469004163228
NELFCD,31,1,0.03225806451612903,0.6191132163036192
TFAP4,34,1,0.029411764705882353,0.5644855795709469
PPP1R15B,23,1,0.043478260869565216,0.8344569437135737
STX16,58,1,0.017241379310344827,0.3309053397484861
VAV1,36,1,0.027777777777777776,0.5331252695947832
PSIP1,45,1,0.022222222222222223,0.4265002156758266
SMG9,221,1,0.004524886877828055,0.08684393531860722
MBTPS1,27,1,0.037037037037037035,0.7108336927930442
NAA20,34,1,0.029411764705882353,0.5644855795709469
PCGF1,319,1,0.003134796238244514,0.06016460722699748
ZNF92,17,1,0.058823529411764705,1.1289711591418938
MBD3,22,1,0.045454545454545456,0.8723868047914635
INO80C,81,1,0.012345679012345678,0.23694456426434807
BCL3,7,1,0.14285714285714285,2.7417871007731707
HOXB2,105,1,0.009523809523809525,0.1827858067182114
BRAT1,16,1,0.0625,1.1995318565882622
BRPF1,207,1,0.004830917874396135,0.09271743819039707
HDAC7,4,1,0.25,4.798127426353049
