symbol	ensembl_gene_id	endpoint_role
XRRA1	ENSG00000166435	regulator
YBX1	ENSG00000065978	regulator
YEATS2	ENSG00000163872	regulator
YTHDF2	ENSG00000198492	regulator
YY1	ENSG00000100811	regulator
ZAP70	ENSG00000115085	regulator
ZBTB1	ENSG00000126804	regulator
ZBTB44	ENSG00000196323	regulator
ZC3H10	ENSG00000135482	regulator
ZC3H3	ENSG00000014164	regulator
ZC3HC1	ENSG00000091732	regulator
ZCRB1	ENSG00000139168	regulator
ZEB1	ENSG00000148516	regulator
ZFC3H1	ENSG00000133858	regulator
ZFYVE21	ENSG00000100711	regulator
ZHX3	ENSG00000174306	regulator
ZMYM2	ENSG00000121741	regulator
ZNF148	ENSG00000163848	regulator
ZNF274	ENSG00000171606	regulator
ZNF280D	ENSG00000137871	regulator
ZNF384	ENSG00000126746	regulator
ZNF554	ENSG00000172006	regulator
ZNF613	ENSG00000176024	regulator
ZNF641	ENSG00000167528	regulator
ZNF644	ENSG00000122482	regulator
ZNF649	ENSG00000198093	regulator
ZNF71	ENSG00000197951	regulator
ZNF710	ENSG00000140548	regulator
ZNF829	ENSG00000185869	regulator
ZNF92	ENSG00000146757	regulator
KMT2E	ENSG00000005483	target
IMP4	ENSG00000136718	target
TOB1	ENSG00000141232	target
PTTG1IP	ENSG00000183255	target
CREBBP	ENSG00000005339	target
THUMPD1	ENSG00000066654	target
ELOB	ENSG00000103363	target
PPP6R3	ENSG00000110075	target
UBE4A	ENSG00000110344	target
RDH10	ENSG00000121039	target
CEP20	ENSG00000133393	target
PPP2R1B	ENSG00000137713	target
SMG1	ENSG00000157106	target
TMEM135	ENSG00000166575	target
ATP5MG	ENSG00000167283	target
KCTD5	ENSG00000167977	target
NSMCE1	ENSG00000169189	target
TMEM126B	ENSG00000171204	target
PPP1CA	ENSG00000172531	target
RAB1B	ENSG00000174903	target
SRPRA	ENSG00000182934	target
SFT2D2	ENSG00000213064	target
CCNL2	ENSG00000221978	target
JARID2	ENSG00000008083	target
SLC38A5	ENSG00000017483	target
SEC63	ENSG00000025796	target
IFNGR1	ENSG00000027697	target
SEC61A1	ENSG00000058262	target
TRAM1	ENSG00000067167	target
LMAN1	ENSG00000074695	target
MYDGF	ENSG00000074842	target
TM9SF3	ENSG00000077147	target
UBA5	ENSG00000081307	target
RNF13	ENSG00000082996	target
