gene,n_both,n_inv,rate,decile,p_expected,p_naive,p_degree_matched,q_naive,q_degree_matched,enrichment_vs_decile,OR_logistic,p_logistic,sig,direction,logistic_uncalibrated_do_not_use
NUDCD1,124,1,0.008064516129032258,4,0.05028265397203213,0.023425752110713877,0.02241032161537198,0.05331378066576262,0.05744004763551653,0.1603836610040084,0.19064581508448708,1.147590899108316e-96,False,down,3.787049967057443e-96
PTPA,105,0,0.0,3,0.04018329221008107,0.0069307301966822134,0.023317567457087657,0.019674330880904346,0.0581924275720778,0.0,5.202367158284817e-10,1.5301463549112805e-100,False,down,7.920757601893688e-100
ZNF274,106,0,0.0,3,0.04019746121297602,0.00704337561675274,0.023422880075350098,0.019761229369920086,0.0581924275720778,0.0,5.191985283415838e-10,1.454119096323394e-100,False,down,7.67774882858752e-100
TASOR,107,0,0.0,3,0.04021164021164021,0.007185901589061849,0.023585567235652742,0.019761229369920086,0.0581924275720778,0.0,5.18172128461661e-10,1.3826669226014546e-100,False,down,7.449470773353525e-100
CCNA2,107,0,0.0,3,0.04021164021164021,0.007185901589061849,0.023585567235652742,0.019761229369920086,0.0581924275720778,0.0,5.181721284835513e-10,1.3826669238421315e-100,False,down,7.449470773353525e-100
RFX1,109,0,0.0,3,0.040240028238616304,0.004546985549550702,0.024083808658109322,0.013958188198620759,0.05887153227537834,0.0,5.161537294527771e-10,1.2522313728467876e-100,False,down,7.033810264501104e-100
CPSF6,630,37,0.05873015873015873,8,0.04028006589785832,0.4739094151401916,0.025043269817629187,0.5957718361762409,0.060655259007835825,1.4580452494562923,1.043356306556077,0.6429391596408922,False,up,0.6553511125297126
MED12,1008,53,0.05257936507936508,9,0.07024872448979592,0.9437118897348813,0.02641522564765499,0.9847428414624848,0.06339654155437197,0.7484743027185151,0.8380354900537268,0.10321994530144504,False,down,0.11260357669248551
LCK,73,6,0.0821917808219178,1,0.03303471444568869,0.28265959744012653,0.0337419873628604,0.40119426733437313,0.07792071541136314,2.4880427211516136,2.358858722756899,5.276557379214472e-20,False,up,9.476266313691298e-20
ZC3H10,77,0,0.0,2,0.049509803921568625,0.03512676567281937,0.03382318123913725,0.0713343549048024,0.07792071541136314,0.0,5.553755217773237e-10,8.563089305057047e-100,False,down,3.7059927539304665e-99
ERCC1,77,0,0.0,2,0.049509803921568625,0.03512676567281937,0.03382318123913725,0.0713343549048024,0.07792071541136314,0.0,5.553755218163849e-10,8.563089317793881e-100,False,down,3.7059927539304665e-99
DNTTIP1,82,8,0.0975609756097561,2,0.0457002457002457,0.0778438122668449,0.03385444108082194,0.1398011322343337,0.07792071541136314,2.134801993181222,2.781910907512423,7.779825143903628e-30,False,up,1.6045889359301232e-29
R3HCC1L,78,0,0.0,2,0.049534085335948996,0.03583445634059308,0.03396786474467954,0.07221600361768377,0.07792071541136314,0.0,5.538674618558394e-10,7.954426006197202e-100,False,down,3.559268585823833e-99
SAP130,79,0,0.0,2,0.049558390578999016,0.022437260338448162,0.034237890104992896,0.052894952065150214,0.07792071541136314,0.0,5.523826236614788e-10,7.397272047640667e-100,False,down,3.3670341734088553e-99
VHL,80,0,0.0,2,0.04958271968581247,0.022440282694306153,0.03463327722530872,0.052894952065150214,0.07814688194428634,0.0,5.509203629852591e-10,6.886612997502444e-100,False,down,3.1895891777906054e-99
RCOR1,99,0,0.0,3,0.04009848751319029,0.010553360829732792,0.0355508117506451,0.02758502236682631,0.07914216468834605,0.0,5.267279241305663e-10,2.1042357610308933e-100,False,down,1.0683043094464536e-99
CREB1,82,0,0.0,2,0.04963144963144963,0.022714913448539528,0.03580071659828817,0.052965181391592966,0.07914216468834605,0.0,5.480611222496218e-10,5.987399364263522e-100,False,down,2.8226311288670888e-99
