gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,p_ora_pooled,p_ora_indeg_matched,p_ora_fisher,q_ora_pooled,q_ora_indeg_matched,q_ora_fisher
ZNF555,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRAG1,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF550,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRCP,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF549,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRDM8,32,0,0.0,8,0.04467759047506778,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRDX1,24,0,0.0,8,0.04465653352185696,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRDX3,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF544,26,0,0.0,8,0.04466179589912798,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PREB,18,0,0.0,7,0.04530963191962129,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF543,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF70,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRELID3B,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF511,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKCA,20,0,0.0,7,0.04531838825007247,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLK2,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF440,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF44,15,0,0.0,6,0.04790874524714829,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRR11,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRR12,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF438,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF43,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRR5,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF428,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRR5L,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF426,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRRC1,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRRC2C,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRSS16,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF414,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRXL2A,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRXL2C,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF397,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF382,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF362,28,0,0.0,8,0.044667059516794345,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF358,29,0,0.0,8,0.04466969179091284,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLGRKT,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF354C,20,0,0.0,7,0.04531838825007247,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF354A,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPS2,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF441,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLIN3,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPF40A,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKCB,18,0,0.0,7,0.04530963191962129,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF496,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF493,13,0,0.0,5,0.05669816564758199,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKCSH,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKCZ,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKD3,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF492,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKRA,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKX,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLK1,12,0,0.0,4,0.058307533539731685,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PRMT2,15,0,0.0,6,0.04790874524714829,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP3CB,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF708,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PROCA1,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PROK2,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF486,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF483,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PROS1,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PROSER1,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
