gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
CYP4V2,2,0,0.0,0,0.06521739130434782,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DCAF5,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DDX17,55,0,0.0,5,0.03251161128974634,0.0,0.0,1.0,1.0,False,0.4205324951948554,0.91340258657776,False,down,False,0,0
DEK,12,0,0.0,1,0.03116883116883117,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DHX9,16,0,0.0,2,0.0537525354969574,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DNAJB11,64,0,0.0,6,0.04208371246587807,0.0,0.0,1.0,1.0,False,0.11321032684772413,0.36571084641385226,False,down,False,0,0
DNAJB9,154,0,0.0,7,0.04172624463798258,0.0,0.0,1.0,1.0,False,0.0030455920085463092,0.022107414932624386,True,down,False,0,0
DNAJC3,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DOP1A,75,0,0.0,6,0.04218928164196123,0.0,0.0,1.0,1.0,False,0.07528719069489997,0.266650663244059,False,down,False,0,0
DOT1L,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DPH1,8,0,0.0,0,0.0661764705882353,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DPH2,5,0,0.0,0,0.06569343065693431,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
DRAP1,22,0,0.0,3,0.034361851332398316,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ECHS1,33,0,0.0,4,0.030636668262326472,0.0,0.0,1.0,1.0,False,0.623505716918842,1.0,False,down,False,0,0
EHMT1,122,0,0.0,7,0.04155339805825243,0.0,0.0,1.0,1.0,False,0.009972548850800652,0.05645011597196332,False,down,False,0,0
EIF3K,27,0,0.0,3,0.034482758620689655,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EIF4B,4,0,0.0,0,0.06553398058252427,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ELP4,6,0,0.0,0,0.06585365853658537,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EMC4,24,0,0.0,3,0.03441011235955056,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EML2,17,0,0.0,2,0.05380710659898477,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EP300,6,0,0.0,0,0.06585365853658537,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EPC1,12,0,0.0,1,0.03116883116883117,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ERCC1,77,0,0.0,6,0.04220853296828656,0.0,0.0,1.0,1.0,False,0.07649459869400071,0.266650663244059,False,down,False,0,0
ERCC6L,20,0,0.0,2,0.0539714867617108,0.0,0.0,1.0,1.0,False,0.6196956530005753,1.0,False,down,False,0,0
ERGIC3,7,0,0.0,0,0.06601466992665037,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EXOC1,3,0,0.0,0,0.06537530266343826,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
EZH2,15,0,0.0,1,0.03129074315514994,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FAF2,40,0,0.0,5,0.03233830845771144,0.0,0.0,1.0,1.0,False,0.6377364043417099,1.0,False,down,False,0,0
FANCB,22,0,0.0,3,0.034361851332398316,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FANCF,5,0,0.0,0,0.06569343065693431,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FBXL3,21,0,0.0,3,0.03433777154870357,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FDX1,5,0,0.0,0,0.06569343065693431,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FGFR1OP2,30,0,0.0,4,0.030592734225621414,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FLAD1,25,0,0.0,3,0.03443429374560787,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
FOXK1,35,0,0.0,4,0.030666027791087687,0.0,0.0,1.0,1.0,False,0.6244151854923821,1.0,False,down,False,0,0
FOXN2,144,0,0.0,7,0.04167207581461768,0.0,0.0,1.0,1.0,False,0.004532942267380961,0.029440267147095293,True,down,False,0,0
