display_rank	target	target_ensg	orientation	go_id	go_term
121	DDX1	ENSG00000079785	lost_on_activation	GO:0016070	RNA metabolic process
122	CORO1A	ENSG00000102879	lost_on_activation	GO:0007155	cell adhesion
122	CORO1A	ENSG00000102879	lost_on_activation	GO:0048870	cell motility
122	CORO1A	ENSG00000102879	lost_on_activation	GO:0022607	cellular component assembly
122	CORO1A	ENSG00000102879	lost_on_activation	GO:0016192	vesicle-mediated transport
123	EIF4G1	ENSG00000114867	lost_on_activation	GO:0010468	regulation of gene expression
123	EIF4G1	ENSG00000114867	lost_on_activation	GO:0006412	translation
124	TNFSF10	ENSG00000121858	lost_on_activation	GO:0012501	programmed cell death
124	TNFSF10	ENSG00000121858	lost_on_activation	GO:0023052	signaling
125	TOMM40	ENSG00000130204	lost_on_activation	GO:0055085	transmembrane transport
126	PELO	ENSG00000152684	lost_on_activation	GO:0010468	regulation of gene expression
126	PELO	ENSG00000152684	lost_on_activation	GO:0016070	RNA metabolic process
126	PELO	ENSG00000152684	lost_on_activation	GO:0006412	translation
127	CYRIB	ENSG00000153310	lost_on_activation	GO:0010468	regulation of gene expression
128	ATP2A2	ENSG00000174437	lost_on_activation	GO:0006914	autophagy
128	ATP2A2	ENSG00000174437	lost_on_activation	GO:0007155	cell adhesion
128	ATP2A2	ENSG00000174437	lost_on_activation	GO:0022607	cellular component assembly
128	ATP2A2	ENSG00000174437	lost_on_activation	GO:0019725	cellular homeostasis
128	ATP2A2	ENSG00000174437	lost_on_activation	GO:0023052	signaling
128	ATP2A2	ENSG00000174437	lost_on_activation	GO:0055085	transmembrane transport
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0022402	cell cycle process
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0022607	cellular component assembly
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0006310	DNA recombination
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0006281	DNA repair
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0012501	programmed cell death
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0010468	regulation of gene expression
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0016070	RNA metabolic process
129	PRKDC	ENSG00000253729	lost_on_activation	GO:0023052	signaling
130	RHBDD2	ENSG00000005486	lost_on_activation	GO:0044238	primary metabolic process
130	RHBDD2	ENSG00000005486	lost_on_activation	GO:0023052	signaling
132	SLC2A3	ENSG00000059804	lost_on_activation	GO:0044238	primary metabolic process
132	SLC2A3	ENSG00000059804	lost_on_activation	GO:0055085	transmembrane transport
133	DNAJC3	ENSG00000102580	lost_on_activation	GO:0006457	protein folding
133	DNAJC3	ENSG00000102580	lost_on_activation	GO:0010468	regulation of gene expression
133	DNAJC3	ENSG00000102580	lost_on_activation	GO:0023052	signaling
134	MAP3K8	ENSG00000107968	lost_on_activation	GO:0044238	primary metabolic process
134	MAP3K8	ENSG00000107968	lost_on_activation	GO:0023052	signaling
136	SFPQ	ENSG00000116560	lost_on_activation	GO:0006310	DNA recombination
136	SFPQ	ENSG00000116560	lost_on_activation	GO:0006281	DNA repair
136	SFPQ	ENSG00000116560	lost_on_activation	GO:0010468	regulation of gene expression
136	SFPQ	ENSG00000116560	lost_on_activation	GO:0016070	RNA metabolic process
137	IVNS1ABP	ENSG00000116679	lost_on_activation	GO:0006351	DNA-templated transcription
138	TMED5	ENSG00000117500	lost_on_activation	GO:0016192	vesicle-mediated transport
139	NDUFB3	ENSG00000119013	lost_on_activation	GO:0006091	generation of precursor metabolites and energy
139	NDUFB3	ENSG00000119013	lost_on_activation	GO:0044238	primary metabolic process
139	NDUFB3	ENSG00000119013	lost_on_activation	GO:0055085	transmembrane transport
140	SCPEP1	ENSG00000121064	lost_on_activation	GO:0006629	lipid metabolic process
141	INSIG2	ENSG00000125629	lost_on_activation	GO:0006629	lipid metabolic process
141	INSIG2	ENSG00000125629	lost_on_activation	GO:0010468	regulation of gene expression
141	INSIG2	ENSG00000125629	lost_on_activation	GO:0023052	signaling
144	SLC7A1	ENSG00000139514	lost_on_activation	GO:0055085	transmembrane transport
145	JAZF1	ENSG00000153814	lost_on_activation	GO:0010468	regulation of gene expression
146	PHF6	ENSG00000156531	lost_on_activation	GO:0010468	regulation of gene expression
147	TBC1D31	ENSG00000156787	lost_on_activation	GO:0022607	cellular component assembly
148	WDR26	ENSG00000162923	lost_on_activation	GO:0044238	primary metabolic process
149	CCR1	ENSG00000163823	lost_on_activation	GO:0007155	cell adhesion
149	CCR1	ENSG00000163823	lost_on_activation	GO:0048870	cell motility
149	CCR1	ENSG00000163823	lost_on_activation	GO:0019725	cellular homeostasis
149	CCR1	ENSG00000163823	lost_on_activation	GO:0010468	regulation of gene expression
149	CCR1	ENSG00000163823	lost_on_activation	GO:0023052	signaling
149	CCR1	ENSG00000163823	lost_on_activation	GO:0016192	vesicle-mediated transport
150	INPP5D	ENSG00000168918	lost_on_activation	GO:0006629	lipid metabolic process
150	INPP5D	ENSG00000168918	lost_on_activation	GO:0023052	signaling
151	B3GNT2	ENSG00000170340	lost_on_activation	GO:0044238	primary metabolic process
153	MAF	ENSG00000178573	lost_on_activation	GO:0006351	DNA-templated transcription
153	MAF	ENSG00000178573	lost_on_activation	GO:0010468	regulation of gene expression
153	MAF	ENSG00000178573	lost_on_activation	GO:0023052	signaling
154	SLC6A9	ENSG00000196517	lost_on_activation	GO:0055085	transmembrane transport
