display_rank,regulator,regulator_ensg,target,target_ensg,direction,lfc_Rest,lfc_Stim48,programme_order,programme,programme_label,programme_source_terms,programme_memberships_on_edge,is_unclassified_complement
5,SUPT7L,ENSG00000119760,CSRNP1,ENSG00000144655,lost_on_activation,0.2869715090999848,-0.2533320700707379,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,PRSS23,ENSG00000150687,lost_on_activation,1.1288837069946205,-1.1520101901378037,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,RASSF3,ENSG00000153179,gained_on_activation,-0.1995880615928365,0.2546330542554221,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,CEBPG,ENSG00000153879,lost_on_activation,0.1246348425382775,-0.2082595114878961,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,MSI2,ENSG00000153944,lost_on_activation,0.1527743160920337,-0.2490920593663807,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,AK9,ENSG00000155085,lost_on_activation,0.3557340642985135,-0.5153216762625893,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,SAMSN1,ENSG00000155307,lost_on_activation,0.3807258324109111,-0.4355342158828301,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,HEATR3,ENSG00000155393,gained_on_activation,-0.179604819121406,0.1625299966540911,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,CD109,ENSG00000156535,lost_on_activation,0.4590010320239188,-0.3025402471946706,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,RAB11FIP1,ENSG00000156675,lost_on_activation,0.1849166001085757,-0.5053807192377899,6,synapse_trafficking,Synapse/trafficking,KEGG_ENDOCYTOSIS,1,False
5,SUPT7L,ENSG00000119760,BSDC1,ENSG00000160058,lost_on_activation,0.2449478166144841,-0.1309046740944248,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,FDXR,ENSG00000161513,gained_on_activation,-0.2801119381978512,0.4382031978658676,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TGFBR2,ENSG00000163513,lost_on_activation,0.2402695700733056,-0.2986487224559532,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1,False
5,SUPT7L,ENSG00000119760,SPRY1,ENSG00000164056,lost_on_activation,0.9583517430412816,-0.6346344116909308,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_JAK_STAT_SIGNALING_PATHWAY,1,False
5,SUPT7L,ENSG00000119760,COG5,ENSG00000164597,lost_on_activation,0.151419689091002,-0.1681965940097181,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,SYTL3,ENSG00000164674,lost_on_activation,0.3194278199428326,-0.194823095730699,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TRUB1,ENSG00000165832,lost_on_activation,0.1451708210590904,-0.171198211763075,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,ENDOG,ENSG00000167136,gained_on_activation,-0.335714925405195,0.1970954229690205,3,stress_survival,Stress/survival,KEGG_APOPTOSIS,1,False
5,SUPT7L,ENSG00000119760,DDIT4,ENSG00000168209,lost_on_activation,0.4588082885707802,-0.3376508825296392,3,stress_survival,Stress/survival,KEGG_MTOR_SIGNALING_PATHWAY,1,False
5,SUPT7L,ENSG00000119760,TAP1,ENSG00000168394,gained_on_activation,-0.259414216741526,0.1785386292651196,2,antigen_processing_proteasome,Antigen processing/proteasome,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,1,False
5,SUPT7L,ENSG00000119760,ADAM9,ENSG00000168615,lost_on_activation,0.3415798643117904,-0.2260478247119659,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,CCDC126,ENSG00000169193,lost_on_activation,0.3686767876582116,-0.3799354879452538,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,B3GALNT1,ENSG00000169255,lost_on_activation,0.6966152515818205,-0.7131477670971686,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,LRRC45,ENSG00000169683,gained_on_activation,-0.2384403891876259,0.2202529025801934,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,TAPT1,ENSG00000169762,lost_on_activation,0.2818328127661938,-0.2209243240110125,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,B3GNT2,ENSG00000170340,lost_on_activation,0.2070364409204022,-0.2510062977243625,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,RBKS,ENSG00000171174,lost_on_activation,0.5162610012150506,-0.5239759204357027,7,unclassified,Outside six programmes,,0,True
5,SUPT7L,ENSG00000119760,BCL2L1,ENSG00000171552,lost_on_activation,0.2969941880494205,-0.2234103062504264,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_JAK_STAT_SIGNALING_PATHWAY,2,False
