time	donor	auc	median_delta_lost	median_delta_gained	median_delta_difference
8	TB03074092	0.695679353952735	0.992582030102511	-0.0978779318207299	1.09045996192324
8	TB03074157	0.68886429318084	0.749061622115467	-0.0766029057644535	0.82566452787992
8	TB03074178	0.681782778905081	0.816749598136751	-0.0711370989962679	0.887886697133019
8	TB03074192	0.711871528418291	0.883041404317482	-0.188306575528479	1.07134797984596
8	TB03074218	0.712568406813011	0.958098988209835	-0.107251200096959	1.06535018830679
8	TB03074315	0.699824755580151	0.828009374079035	-0.175989217564269	1.0039985916433
8	TB03074401	0.704738773084097	0.937336593864382	-0.151457480876523	1.08879407474091
8	TB03074749	0.685441390477362	0.714379867177887	-0.205980203091757	0.920360070269644
12	TB03070100	0.6626801123204	0.577587803212186	-0.115700938576051	0.693288741788237
12	TB03070514	0.673051302547705	0.615873134766274	-0.137810162977474	0.753683297743748
12	TB03070641	0.682182459160876	0.806823804063665	-0.0249230128846771	0.831746816948342
12	TB03071454	0.722150484740413	0.874907832684772	-0.271379653357923	1.14628748604269
12	TB03071936	0.666697411301728	0.647036322915053	-0.0855755742284652	0.732611897143518
12	TB03072560	0.69381417942569	0.811873566834466	-0.118733740076183	0.930607306910649
12	TB03072608	0.678103670909426	0.796593353065755	-0.0981605389641071	0.894753892029862
12	TB03073148	0.678728811822337	0.821862268925474	-0.0888368339825432	0.910699102908017
12	TB03073189	0.721125663571707	0.817710146037292	-0.372823930773516	1.19053407681081
12	TB03073577	0.713132058455799	0.848310260756505	-0.313554559055432	1.16186481981194
12	TB03073798	0.687501281026461	0.832932911761996	-0.0680716221328197	0.901004533894815
12	TB03073852	0.709514439730267	0.810257476135571	-0.238872161104293	1.04912963723986
12	TB03073878	0.687286068581033	0.79985957292033	-0.0865420746553941	0.886401647575724
12	TB03074092	0.687204082887536	0.903942847069266	-0.0434728710687571	0.947415718138023
12	TB03074157	0.682807600073787	0.774417494856652	-0.0962847797844795	0.870702274641132
12	TB03074178	0.687788230953699	0.844288316968516	-0.0788180465816355	0.923106363550152
12	TB03074218	0.694828752382709	0.861641551115594	-0.154698659023889	1.01634021013948
12	TB03074401	0.68607677960196	0.888156916669858	-0.0646472115289225	0.952804128198781
12	TB03074749	0.677027608682285	0.748706296347421	-0.052671683020852	0.801377979368273
24	TB03070100	0.579546619114964	0.544655343184623	0.209064665074089	0.335590678110534
24	TB03070514	0.558650515485048	0.491911800640644	0.204457738068743	0.287454062571901
24	TB03070641	0.575959745024493	0.787123014809857	0.430791081028548	0.356331933781308
24	TB03071454	0.642849822705938	0.820091860967906	-0.109788223557084	0.929880084524989
24	TB03071936	0.593704523560639	0.658943446919931	0.217660017446003	0.441283429473928
24	TB03072560	0.612566357170674	0.894090718771259	0.305924589597459	0.588166129173799
24	TB03072608	0.594129824345652	0.841854632632494	0.34675216316566	0.495102469466834
24	TB03073148	0.611346819979913	0.833399433675654	0.193724732943658	0.639674700731996
24	TB03073189	0.629024985140093	0.772185996398966	0.10096402940648	0.671221966992486
