null_model	normalization	bin_left	bin_right	bin_midpoint	count	total_draws
target_conditioned	author_normalized	-0.140561521502296	-0.138118945458236	-0.139340233480266	9	100000
target_conditioned	author_normalized	-0.138118945458236	-0.135676369414176	-0.136897657436206	1	100000
target_conditioned	author_normalized	-0.135676369414176	-0.133233793370115	-0.134455081392145	4	100000
target_conditioned	author_normalized	-0.133233793370115	-0.130791217326055	-0.132012505348085	2	100000
target_conditioned	author_normalized	-0.130791217326055	-0.128348641281995	-0.129569929304025	1	100000
target_conditioned	author_normalized	-0.128348641281995	-0.125906065237934	-0.127127353259964	0	100000
target_conditioned	author_normalized	-0.125906065237934	-0.123463489193874	-0.124684777215904	1	100000
regulator_signed_margin	raw_tmm	-0.201272391133474	-0.198744899401821	-0.200008645267648	3	10000
regulator_signed_margin	raw_tmm	-0.198744899401821	-0.196217407670167	-0.197481153535994	3	10000
regulator_signed_margin	raw_tmm	-0.196217407670167	-0.193689915938514	-0.194953661804341	2	10000
regulator_signed_margin	raw_tmm	-0.193689915938514	-0.19116242420686	-0.192426170072687	6	10000
regulator_signed_margin	raw_tmm	-0.19116242420686	-0.188634932475207	-0.189898678341034	8	10000
regulator_signed_margin	raw_tmm	-0.188634932475207	-0.186107440743553	-0.18737118660938	5	10000
regulator_signed_margin	raw_tmm	-0.186107440743553	-0.1835799490119	-0.184843694877727	10	10000
regulator_signed_margin	raw_tmm	-0.1835799490119	-0.181052457280246	-0.182316203146073	5	10000
regulator_signed_margin	raw_tmm	-0.181052457280246	-0.178524965548593	-0.17978871141442	13	10000
regulator_signed_margin	raw_tmm	-0.178524965548593	-0.175997473816939	-0.177261219682766	17	10000
regulator_signed_margin	raw_tmm	-0.175997473816939	-0.173469982085286	-0.174733727951113	17	10000
regulator_signed_margin	raw_tmm	-0.173469982085286	-0.170942490353632	-0.172206236219459	27	10000
regulator_signed_margin	raw_tmm	-0.170942490353632	-0.168414998621979	-0.169678744487806	34	10000
regulator_signed_margin	raw_tmm	-0.168414998621979	-0.165887506890325	-0.167151252756152	38	10000
regulator_signed_margin	raw_tmm	-0.165887506890325	-0.163360015158672	-0.164623761024499	44	10000
regulator_signed_margin	raw_tmm	-0.163360015158672	-0.160832523427018	-0.162096269292845	48	10000
regulator_signed_margin	raw_tmm	-0.160832523427018	-0.158305031695365	-0.159568777561192	64	10000
regulator_signed_margin	raw_tmm	-0.158305031695365	-0.155777539963711	-0.157041285829538	72	10000
regulator_signed_margin	raw_tmm	-0.155777539963711	-0.153250048232058	-0.154513794097885	93	10000
regulator_signed_margin	raw_tmm	-0.153250048232058	-0.150722556500404	-0.151986302366231	103	10000
regulator_signed_margin	raw_tmm	-0.150722556500404	-0.148195064768751	-0.149458810634578	116	10000
regulator_signed_margin	raw_tmm	-0.148195064768751	-0.145667573037097	-0.146931318902924	136	10000
regulator_signed_margin	raw_tmm	-0.145667573037097	-0.143140081305444	-0.144403827171271	163	10000
regulator_signed_margin	raw_tmm	-0.143140081305444	-0.14061258957379	-0.141876335439617	186	10000
regulator_signed_margin	raw_tmm	-0.14061258957379	-0.138085097842137	-0.139348843707964	214	10000
regulator_signed_margin	raw_tmm	-0.138085097842137	-0.135557606110483	-0.13682135197631	208	10000
regulator_signed_margin	raw_tmm	-0.135557606110483	-0.13303011437883	-0.134293860244657	231	10000
regulator_signed_margin	raw_tmm	-0.13303011437883	-0.130502622647176	-0.131766368513003	224	10000
regulator_signed_margin	raw_tmm	-0.130502622647176	-0.127975130915523	-0.12923887678135	279	10000
regulator_signed_margin	raw_tmm	-0.127975130915523	-0.125447639183869	-0.126711385049696	267	10000
regulator_signed_margin	raw_tmm	-0.125447639183869	-0.122920147452216	-0.124183893318043	290	10000
regulator_signed_margin	raw_tmm	-0.122920147452216	-0.120392655720562	-0.121656401586389	325	10000
regulator_signed_margin	raw_tmm	-0.120392655720562	-0.117865163988909	-0.119128909854736	341	10000
regulator_signed_margin	raw_tmm	-0.117865163988909	-0.115337672257255	-0.116601418123082	318	10000
regulator_signed_margin	raw_tmm	-0.115337672257255	-0.112810180525602	-0.114073926391429	353	10000
regulator_signed_margin	raw_tmm	-0.112810180525602	-0.110282688793948	-0.111546434659775	355	10000
regulator_signed_margin	raw_tmm	-0.110282688793948	-0.107755197062295	-0.109018942928122	327	10000
regulator_signed_margin	raw_tmm	-0.107755197062295	-0.105227705330641	-0.106491451196468	373	10000
